institucion_id,nombre
611,ASAMBLEA NACIONAL
70,"Agencia Nacional de Regulación, Control y Vigilancia Sanitaria"
48,Agencia Nacional de Tránsito
73,Agencia de Regulación y Control del Agua
273,Asamblea Nacional
614,CONSEJO NACIONAL ELECTORAL
616,CORTE CONSTITUCIONAL
598,Consejo Cantonal para la Protección de Derechos - Santo Domingo
413,Consejo Nacional Electoral
185,Consejo Nacional de Aviación Civil
261,Consejo Nacional de Competencias
180,Consejo Nacional de Control de Sustancias Estupefacientes y Psicotrópicas
187,Consejo Nacional de Salud
130,Consejo Nacional para la Igualdad Intergeneracional
142,Consejo Nacional para la Igualdad de Discapacidades
270,Consejo Nacional para la Igualdad de Discapacidades
135,Consejo Nacional para la Igualdad de Género
479,Consejo Nacional para la Igualdad de Movilidad Humana
165,Consejo Nacional para la Igualdad de Pueblos y Nacionalidades
171,Consejo de Desarrollo de las Nacionalidades y Pueblos Indígenas del Ecuador
38,Corporación Financiera Nacional
111,Corporación Nacional de Electricidad
37,Corporación Nacional de Finanzas Populares y Solidarias
106,Corporación Nacional de Telecomunicaciones
47,Dirección Nacional de Registros Públicos
573,Dirección Nacional de los Espacios Acuáticos
278,Empresa Eléctrica Ambato Regional Centro Norte S.A.
201,Empresa Eléctrica Regional Centro Sur CA.
320,Empresa Eléctrica Regional del Sur S.A.
141,Empresa Nacional Minera
195,Fondo de Desarrollo de las Nacionalidades y Pueblos Indígenas del Ecuador
280,Gobierno Autónomo Descentralizado Municipal Cuenca
297,Gobierno Autónomo Descentralizado Municipal de Archidona
289,Gobierno Autónomo Descentralizado Municipal de Pucará
466,Gobierno Autónomo Descentralizado Municipal de Sevilla de Oro
418,Gobierno Autónomo Descentralizado Municipal de Sígsig
521,Gobierno Autónomo Descentralizado Municipal del Cantón Camilo Ponce Enriquez
441,Gobierno Autónomo Descentralizado Municipal del Cantón Chordeleg
243,Gobierno Autónomo Descentralizado Municipal del Cantón Gualaceo
437,Gobierno Autónomo Descentralizado Municipal del Cantón Morona
516,Gobierno Autónomo Descentralizado Municipal del Cantón Oña
539,Gobierno Autónomo Descentralizado Municipal del Cantón Pedro Vicente Maldonado
552,Gobierno Autónomo Descentralizado Municipal del Cantón San Fernando
555,Gobierno Autónomo Descentralizado Municipal del Cantón Santa Isabel
500,Gobierno Autónomo Descentralizado Municipal del Cantón el Pan
574,Gobierno Provincial del Azuay
190,Gran Nacional Minera Mariscal Sucre C.E.M.
132,Instituto Nacional de Biodiversidad
52,"Instituto Nacional de Donación y Trasplante de Órganos, Tejidos y Células"
43,Instituto Nacional de Economía Popular y Solidaria
63,Instituto Nacional de Eficiencia Energética y Energías Renovables
33,Instituto Nacional de Estadística y Censos
66,Instituto Nacional de Evaluación Educativa
14,Instituto Nacional de Investigaciones Agropecuarias
72,Instituto Nacional de Investigación en Salud Pública Dr. Leopoldo Izquieta Pérez
109,Instituto Nacional de Meritocracia
18,Instituto Nacional de Meteorología e Hidrología
31,Instituto Nacional de Patrimonio Cultural
175,Instituto Nacional de Preinversión
170,Instituto Nacional de Riego
592,Instituto de Seguridad Social de la Policía Nacional
60,Ministerio de Defensa Nacional
419,ORQUESTA SINFÓNICA NACIONAL DEL ECUADOR
119,Operador Nacional de Electricidad - CENACE
368,Orquesta Sinfónica de Cuenca
113,PETROAMAZONAS EP
562,Parque Nacional Galápagos
599,Patronato Municipal de Inclusión Social del Gobierno Autónomo Descentralizado Municipal de Santo Domingo
39,Policía Nacional del Ecuador
465,Registro de la Propiedad con Funciones y Facultades Mercantiles del Cantón Girón
288,Registro de la Propiedad con Funciones y Facultades de Registro Mercantil del Cantón Gualaceo
303,Registro de la Propiedad con Funciones y Facultades de Registro Mercantil del Cantón Pedro Vicente Maldonado
290,Registro de la Propiedad con Funciones y Facultades de Registro Mercantil del Cantón Santa Isabel
565,Registro de la Propiedad del Cantón Cuenca
429,Registro de la Propiedad del Cantón Paute
458,Registro de la Propiedad del Cantón Sígsig
649,SUPERINTENDENCIA DE PROTECCIÓN DE DATOS PERSONALES
159,Secretaria Técnica del Comité Nacional de Límites Internos
168,Secretaría Nacional de Administración Pública
114,Secretaría Nacional de Comunicación
65,Secretaría Nacional de Gestión de Riesgos
279,Secretaría Nacional de Planificación
103,Secretaría Nacional de Telecomunicaciones
167,Secretaría Nacional del Migrante
177,Secretaría Técnica de Cooperación Internacional
160,Secretaría Técnica del Comité Interinstitucional de Prevención de Asentamientos Irregulares
164,Secretaría Técnica del Comité Interinstitucional de Prevención de Asentamientos Irregulares
206,Secretaría Técnica del Comité Interinstitucional para la Erradicación de la Pobreza
4,Secretaría Técnica del Sistema Nacional de Cualificaciones Profesionales
568,Secretaría de Gestión y Desarrollo de Pueblos y Nacionalidades
34,Servicio Ecuatoriano de Capacitación Profesional
16,Servicio Nacional de Aduana del Ecuador
365,Servicio Nacional de Atención Integral a Personas Adultas Privadas de la Libertad y a Adolescentes Infractores
41,Servicio Nacional de Contratación Pública
3,Servicio Nacional de Derechos Intelectuales
133,Servicio Nacional de Medicina Legal y Ciencias Forenses
631,Superintendencia de Protección de Datos Personales
108,Unidad Nacional de Almacenamiento
